Company,Levy Group,Effective Date,Fuel Surcharge
Direct Freight Express Pty Ltd,Customer B 1.10,04/08/2025,20.29%
D&E Valley Freight,D&E Valley Freight,04/08/2025,9.83%
Cahill Transport,Customer B 1.10,04/08/2025,20.29%
Bluestar Logistics Pty Ltd,Customer B 1.10,04/08/2025,20.29%
Aramex Linehaul Australia Pty Ltd,Customer B 1.10,04/08/2025,20.29%
Amalgamated National Logistics,Customer B 1.10,04/08/2025,20.29%
Allied Overnight Express Pty Ltd,Customer B 1.10,04/08/2025,20.29%
Airroad Pty Ltd,Customer A 1.15,04/08/2025,18.17%
Wettenhalls Regional Express Pty Ltd,Customer B 1.10,07/07/2025,19.16%
Vellex Logistics Pty Ltd,Customer A 1.15,07/07/2025,17.09%
Total Logistics Solutions (Australia) Pty Ltd,Customer A 1.15,07/07/2025,17.09%
TFMXPRESS Pty Ltd,Customer B 1.10,07/07/2025,19.16%
